Y_Class,y_direct_clf,meta_best_n_splits,meta_strategy
1,1,4,1
1,2,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,2,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
0,1,4,1
1,1,4,1
1,1,4,1
1,2,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
2,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,2,4,1
2,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,2,4,1
1,1,4,1
2,2,4,1
1,1,4,1
1,0,4,1
0,0,4,1
0,0,4,1
1,1,4,1
1,1,4,1
1,1,4,1
2,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,2,4,1
2,2,4,1
2,2,4,1
2,2,4,1
2,2,4,1
1,1,4,1
1,1,4,1
1,2,4,1
2,2,4,1
1,1,4,1
1,1,4,1
1,1,4,1
0,1,4,1
1,2,4,1
1,1,4,1
2,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,2,4,1
1,1,4,1
1,1,4,1
2,1,4,1
2,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,2,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
0,1,4,1
1,0,4,1
1,1,4,1
1,1,4,1
1,2,4,1
0,1,4,1
2,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
2,2,4,1
2,2,4,1
1,2,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
0,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
0,1,4,1
1,0,4,1
1,1,4,1
0,1,4,1
0,0,4,1
0,2,4,1
2,2,4,1
2,2,4,1
1,2,4,1
2,1,4,1
1,1,4,1
1,0,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
