Y_Class,y_direct_clf,meta_best_n_splits,meta_strategy
2,1,6,1
2,2,6,1
2,2,6,1
2,2,6,1
1,1,6,1
2,2,6,1
2,2,6,1
2,2,6,1
0,0,6,1
0,0,6,1
1,1,6,1
2,2,6,1
1,1,6,1
0,1,6,1
1,0,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
2,2,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
2,2,6,1
2,2,6,1
1,1,6,1
1,1,6,1
2,1,6,1
0,0,6,1
1,1,6,1
0,0,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
2,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
1,1,6,1
2,2,6,1
2,2,6,1
1,2,6,1
1,1,6,1
1,2,6,1
2,1,6,1
0,1,6,1
